,Name,Age,Team,Medal
0,Edgar Lindenau Aabye,34.0,Denmark/Sweden,Gold
1,Arvo Ossian Aaltonen,30.0,Finland,Bronze
2,Juhamatti Tapio Aaltonen,28.0,Finland,Bronze
3,Paavo Johannes Aaltonen,28.0,Finland,Bronze
4,Paavo Johannes Aaltonen,28.0,Finland,Gold
5,Paavo Johannes Aaltonen,32.0,Finland,Bronze
6,Kjetil Andr Aamodt,20.0,Norway,Gold
7,Kjetil Andr Aamodt,20.0,Norway,Bronze
8,Kjetil Andr Aamodt,22.0,Norway,Silver
9,Kjetil Andr Aamodt,22.0,Norway,Bronze
10,Kjetil Andr Aamodt,30.0,Norway,Gold
11,Kjetil Andr Aamodt,34.0,Norway,Gold
12,Ragnhild Margrethe Aamodt,27.0,Norway,Gold
13,Alf Lied Aanning,24.0,Norway,Silver
14,Willemien Aardenburg,22.0,Netherlands,Bronze
15,Pepijn Aardewijn,26.0,Netherlands,Silver
16,Ann Kristin Aarnes,23.0,Norway,Bronze
17,Karl Jan Aas,20.0,Norway,Silver
18,Roald Edgar Aas,23.0,Norway,Bronze
19,Roald Edgar Aas,31.0,Norway,Gold
20,Thomas Valentin Aas,25.0,Taifun,Gold
21,Ren Abadie,21.0,France,Gold
22,Giovanni Abagnale,21.0,Italy,Bronze
23,Jos Luis Abajo Gmez,30.0,Spain,Bronze
24,Patimat Abakarova,21.0,Azerbaijan,Bronze
25,Mariya Vasilyevna Abakumova (-Tarabina),22.0,Russia,Silver
26,Aleksey Aleksandrovich Abalmasov,28.0,Belarus,Gold
27,Luc Abalo,23.0,France,Gold
28,Luc Abalo,27.0,France,Gold
29,Luc Abalo,31.0,France,Silver
30,Jouan Patrice Abanda Etong,22.0,Cameroon,Gold
31,Jos Mara Abarca Plotas,22.0,Spain,Gold
32,Stephen Anthony Abas,26.0,United States,Silver
33,Alejandro Abascal Garca,28.0,Spain,Gold
34,Jos Manuel Abascal Gmez,26.0,Spain,Bronze
35,Tamila Rashidovna Abasova,21.0,Russia,Silver
36,Jol Marc Abati,38.0,France,Gold
37,Pter Abay,30.0,Hungary,Silver
38,Oszkr Abay-Nemes,22.0,Hungary,Bronze
39,Silvano Abba,25.0,Italy,Bronze
40,Agostino Abbagnale,22.0,Italy,Gold
41,Agostino Abbagnale,29.0,Italy,Gold
42,Agostino Abbagnale,34.0,Italy,Gold
43,Carmine Abbagnale,22.0,Italy,Gold
44,Carmine Abbagnale,26.0,Italy,Gold
45,Carmine Abbagnale,30.0,Italy,Silver
46,Giuseppe Abbagnale,25.0,Italy,Gold
47,Giuseppe Abbagnale,29.0,Italy,Gold
48,Giuseppe Abbagnale,33.0,Italy,Silver
49,"Desmond ""Des"" Abbott",21.0,Australia,Bronze
50,Jeremy Abbott,28.0,United States,Bronze
51,Margaret Ives Abbott (-Dunne),23.0,United States,Gold
52,Monica Cecilia Abbott,23.0,United States,Silver
53,Nia Nicole Abdallah,20.0,United States,Silver
54,Saeid Morad Abdevali,26.0,Iran,Bronze
55,Reema Abdo,21.0,Canada,Bronze
56,Lala Abdul Rashid,38.0,Pakistan,Gold
57,Muhammad Abdul Rashid,23.0,Pakistan,Silver
58,Zagalav Abdulbekovich Abdulbekov,26.0,Soviet Union,Gold
59,Mukhammad Kadyr Abdullayev,26.0,Uzbekistan,Gold
60,Namiq Yadulla Abdullayev,25.0,Azerbaijan,Silver
61,Namiq Yadulla Abdullayev,29.0,Azerbaijan,Gold
62,Julius Shareef Abdur-Rahim,23.0,United States,Gold
63,Yusup Abdusalomov,30.0,Tajikistan,Silver
64,Andrey Khakimovich Abduvaliyev,26.0,Unified Team,Gold
65,Masashi Abe,28.0,Japan,Gold
66,Addis Abebe,21.0,Ethiopia,Bronze
67,"Max ""Xam"" Abegglen",22.0,Switzerland,Silver
68,Clarence John Abel,23.0,United States,Silver
69,George Gordon Abel,35.0,Canada,Gold
70,Irene Abel,19.0,East Germany,Silver
71,Jennifer Abel,20.0,Canada,Bronze
72,Egil Sten Abel,20.0,Fornebo,Silver
73,Abelardo Fernndez Antua,22.0,Spain,Gold
74,"Louis Grenville ""Lou"" Abell",15.0,Vesper Boat Club,Gold
75,"Louis Grenville ""Lou"" Abell",19.0,Vesper Boat Club,Gold
76,Gezahgne Abera,22.0,Ethiopia,Gold
77,Nils Georg berg,19.0,Sweden,Bronze
78,Nils Georg berg,19.0,Sweden,Silver
79,Michael Brent Abernathy,22.0,United States,Gold
80,Moira Abernethy (-Ford),17.0,South Africa,Bronze
81,Elvan Abeylegesse,25.0,Turkey,Silver
82,Ismail Abilov (-Nizamolu),29.0,Bulgaria,Gold
83,"Edgar Allen ""Ed"" Ablowich",19.0,United States,Gold
84,Denis Mikhaylovich Ablyazin,19.0,Russia,Bronze
85,Denis Mikhaylovich Ablyazin,19.0,Russia,Silver
86,Denis Mikhaylovich Ablyazin,24.0,Russia,Silver
87,Denis Mikhaylovich Ablyazin,24.0,Russia,Bronze
88,Viktor Andreyevich Aboimov,22.0,Soviet Union,Silver
89,Viktor Andreyevich Aboimov,22.0,Soviet Union,Bronze
90,"Matthew ""Matt"" Abood",30.0,Australia,Bronze
91,Alaaeldin Ahmad El-Sayyid Abouelkassem,21.0,Egypt,Silver
92,Attila brahm,21.0,Hungary,Bronze
93,Attila brahm,21.0,Hungary,Gold
94,Attila brahm,25.0,Hungary,Silver
95,Gary Abraham,21.0,Great Britain,Bronze
96,Ara Abrahamian,29.0,Sweden,Silver
97,Harold Maurice Abrahams,24.0,Great Britain,Gold
98,Harold Maurice Abrahams,24.0,Great Britain,Silver
99,Isak Abrahamsen,21.0,Norway,Gold
100,Erik Adolf Efraim Abrahamsson,22.0,Sweden,Bronze
101,Karl Gustaf Emanuel Abrahamsson,31.0,Sweden,Silver
102,Pavel Sergeyevich Abramov,25.0,Russia,Bronze
103,Nelli Mikhaylovna Abramova,24.0,Soviet Union,Silver
104,Yekaterina Konstantinovna Abramova,23.0,Russia,Bronze
105,"Alejandro ""lex"" Abrines Redondo",23.0,Spain,Bronze
106,Svetlana Olegovna Abrosimova,28.0,Russia,Bronze
107,Saypulla Atavovich Absaidov,22.0,Soviet Union,Gold
108,Julien Absalon,23.0,France,Gold
109,Julien Absalon,27.0,France,Gold
110,Ahmad Abughaush,20.0,Jordan,Gold
111,Ginko Abukawa-Chiba,26.0,Japan,Bronze
112,Aleksandr Veniaminovich Abushakhmetov,25.0,Soviet Union,Bronze
113,Magomedgasan Mingazhutdinovich Abushev,20.0,Soviet Union,Gold
114,Andreea Roxana Acatrinei,16.0,Romania,Bronze
115,William Accambray,24.0,France,Gold
116,Paul Accola,20.0,Switzerland,Bronze
117,Domingo Gmez-Acedo Villanueva,21.0,Spain,Silver
118,Anibl Santiago Acevedo,21.0,Puerto Rico,Bronze
119,Daniel Aceves Villagrn,19.0,Mexico,Silver
120,Joachim Yaw Acheampong,18.0,Ghana,Bronze
121,Alfred Achermann,24.0,Switzerland,Silver
122,Abdel Hak Achik,29.0,Morocco,Bronze
123,Mohamed Abdelhak Achik,27.0,Morocco,Bronze
124,Rita Nikolayevna Achkina,30.0,Soviet Union,Bronze
125,Chantal Achterberg,27.0,Netherlands,Bronze
126,Chantal Achterberg,31.0,Netherlands,Silver
127,Fausto Alesio Acke (Padovini-),22.0,Sweden,Gold
128,Paul Douglas Ackerley,27.0,New Zealand,Gold
129,"Charles Edwin ""Charley"" Ackerly",22.0,United States,Gold
130,Ronny Ackermann,24.0,Germany,Silver
131,Ronny Ackermann,28.0,Germany,Silver
132,Donat Acklin,26.0,Switzerland-1,Gold
133,Donat Acklin,26.0,Switzerland-1,Bronze
134,Donat Acklin,28.0,Switzerland-1,Gold
135,Donat Acklin,28.0,Switzerland-1,Silver
136,Guido Acklin,24.0,Switzerland-2,Silver
137,Lautaro Germn Acosta,20.0,Argentina,Gold
138,Osmay Acosta Duarte,23.0,Cuba,Bronze
139,Martn Ral Acosta y Lara Daz,27.0,Uruguay,Bronze
140,Kazimierz Piotr Adach,23.0,Poland,Bronze
141,"Gordon Belgum ""Gordy"" Adam",21.0,United States,Gold
142,Ji Adam,25.0,Czechoslovakia,Silver
143,"Michael B. ""Mike"" Adam",24.0,Canada,Gold
144,Otto Adam,26.0,Germany,Bronze
145,Pierre Louis Eugne Adam,24.0,France,Gold
146,Dariusz Adamczuk,22.0,Poland,Silver
147,"Benjamin Willard ""Ben"" Adams",22.0,United States,Silver
148,"Benjamin Willard ""Ben"" Adams",22.0,United States,Bronze
149,Edgar Holmes Adams,36.0,United States,Silver
150,Harry Lester Adams,31.0,United States,Gold
151,Adrian Neil Adams,21.0,Great Britain,Silver
152,Adrian Neil Adams,25.0,Great Britain,Silver
153,Nicola Virginia Adams,29.0,Great Britain,Gold
154,Nicola Virginia Adams,33.0,Great Britain,Gold
155,Platt Adams,27.0,United States,Gold
156,Platt Adams,27.0,United States,Silver
157,Rachael Alexis Adams,26.0,United States,Bronze
158,"Victoria ""Vicki"" Adams",24.0,Great Britain,Bronze
159,Valerie Kasanita Adams-Vili (-Price),23.0,New Zealand,Gold
160,Valerie Kasanita Adams-Vili (-Price),27.0,New Zealand,Gold
161,Valerie Kasanita Adams-Vili (-Price),31.0,New Zealand,Silver
162,Filip Kamil Adamski,29.0,Germany,Gold
163,Herbert Adamski,26.0,Germany,Gold
164,Jerzy Adamski,23.0,Poland,Silver
165,Simon Addo,17.0,Ghana,Bronze
166,Olubayo Adefemi,22.0,Nigeria,Silver
167,"Ayodele ""Dele"" Adeleye",19.0,Nigeria,Silver
168,Ademir Roque Kaefer,24.0,Brazil,Silver
169,Ademir Roque Kaefer,28.0,Brazil,Silver
170,Olapade Charles Adeniken,22.0,Nigeria,Silver
171,Adenzia Aparecida Ferreira da Silva,25.0,Brazil,Gold
172,Franck Adisson,23.0,France-1,Bronze
173,Franck Adisson,26.0,France-1,Gold
174,"Richard ""Richy""  Adjei",27.0,Germany-2,Silver
175,Sammi Adjei,18.0,Ghana,Bronze
176,"Charles ""Chuck"" Adkins",20.0,United States,Gold
177,Derrick Ralph Adkins,26.0,United States,Gold
178,"Robert Edward ""Bob"" Adlard",32.0,Great Britain,Silver
179,Daniel Adler,26.0,Brazil,Silver
180,Egon Adler,23.0,Germany,Silver
181,"Margarete ""Grete"" Adler",16.0,Austria,Bronze
182,Gregor Nils Henric Adlercreutz,37.0,Sweden,Bronze
183,Nils August Domingo Adlercreutz,45.0,Sweden,Gold
184,Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),39.0,Sweden,Bronze
185,Erik William Adlerz,19.0,Sweden,Gold
186,Erik William Adlerz,27.0,Sweden,Silver
187,"Rebecca ""Becky"" Adlington",19.0,Great Britain,Gold
188,"Rebecca ""Becky"" Adlington",23.0,Great Britain,Bronze
189,Dainius Adomaitis,26.0,Lithuania,Bronze
190,Nathan Ghar-Jun Adrian,19.0,United States,Gold
